,Week,Start,HomeTeam,AwayTeam,HomePoints,AwayPoints,Winner,Loser,Tie1,Tie2
0,1,2020-09-10 20:20:00,KC,HOU,34,20,KC,HOU,,
1,1,2020-09-13 13:00:00,ATL,SEA,25,38,SEA,ATL,,
2,1,2020-09-13 13:00:00,WAS,PHI,27,17,WAS,PHI,,
3,1,2020-09-13 13:00:00,BAL,CLE,38,6,BAL,CLE,,
4,1,2020-09-13 13:00:00,NE,MIA,21,11,NE,MIA,,
5,1,2020-09-13 13:00:00,DET,CHI,23,27,CHI,DET,,
6,1,2020-09-13 13:00:00,BUF,NYJ,27,17,BUF,NYJ,,
7,1,2020-09-13 13:00:00,CAR,LV,30,34,LV,CAR,,
8,1,2020-09-13 13:00:00,JAX,IND,27,20,JAX,IND,,
9,1,2020-09-13 13:00:00,MIN,GB,34,43,GB,MIN,,
10,1,2020-09-13 16:05:00,CIN,LAC,13,16,LAC,CIN,,
11,1,2020-09-13 16:25:00,SF,ARI,20,24,ARI,SF,,
12,1,2020-09-13 16:25:00,NO,TB,34,23,NO,TB,,
13,1,2020-09-13 20:20:00,LAR,DAL,20,17,LAR,DAL,,
14,1,2020-09-14 19:15:00,NYG,PIT,16,26,PIT,NYG,,
15,1,2020-09-14 22:10:00,DEN,TEN,14,16,TEN,DEN,,
16,2,2020-09-17 20:20:00,CLE,CIN,35,30,CLE,CIN,,
17,2,2020-09-20 13:00:00,TEN,JAX,33,30,TEN,JAX,,
18,2,2020-09-20 13:00:00,GB,DET,42,21,GB,DET,,
19,2,2020-09-20 13:00:00,IND,MIN,28,11,IND,MIN,,
20,2,2020-09-20 13:00:00,DAL,ATL,40,39,DAL,ATL,,
21,2,2020-09-20 13:00:00,PIT,DEN,26,21,PIT,DEN,,
22,2,2020-09-20 13:00:00,PHI,LAR,19,37,LAR,PHI,,
23,2,2020-09-20 13:00:00,CHI,NYG,17,13,CHI,NYG,,
24,2,2020-09-20 13:00:00,MIA,BUF,28,31,BUF,MIA,,
25,2,2020-09-20 13:00:00,NYJ,SF,13,31,SF,NYJ,,
26,2,2020-09-20 13:00:00,TB,CAR,31,17,TB,CAR,,
27,2,2020-09-20 16:05:00,ARI,WAS,30,15,ARI,WAS,,
28,2,2020-09-20 16:25:00,HOU,BAL,16,33,BAL,HOU,,
29,2,2020-09-20 16:25:00,LAC,KC,20,23,KC,LAC,,
30,2,2020-09-20 20:20:00,SEA,NE,35,30,SEA,NE,,
31,2,2020-09-21 20:15:00,LV,NO,34,24,LV,NO,,
32,3,2020-09-24 20:20:00,JAX,MIA,13,31,MIA,JAX,,
33,3,2020-09-27 13:00:00,NYG,SF,9,36,SF,NYG,,
34,3,2020-09-27 13:00:00,NE,LV,36,20,NE,LV,,
35,3,2020-09-27 13:00:00,CLE,WAS,34,20,CLE,WAS,,
36,3,2020-09-27 13:00:00,PHI,CIN,23,23,,,PHI,CIN
37,3,2020-09-27 13:00:00,ATL,CHI,26,30,CHI,ATL,,
38,3,2020-09-27 13:00:00,MIN,TEN,30,31,TEN,MIN,,
39,3,2020-09-27 13:00:00,BUF,LAR,35,32,BUF,LAR,,
40,3,2020-09-27 13:00:00,PIT,HOU,28,21,PIT,HOU,,
41,3,2020-09-27 16:05:00,LAC,CAR,16,21,CAR,LAC,,
42,3,2020-09-27 16:05:00,IND,NYJ,36,7,IND,NYJ,,
43,3,2020-09-27 16:25:00,SEA,DAL,38,31,SEA,DAL,,
44,3,2020-09-27 16:25:00,ARI,DET,23,26,DET,ARI,,
45,3,2020-09-27 16:25:00,DEN,TB,10,28,TB,DEN,,
46,3,2020-09-27 20:20:00,NO,GB,30,37,GB,NO,,
47,3,2020-09-28 20:15:00,BAL,KC,20,34,KC,BAL,,
48,4,2020-10-01 20:20:00,NYJ,DEN,28,37,DEN,NYJ,,
49,4,2020-10-04 13:00:00,TB,LAC,38,31,TB,LAC,,
50,4,2020-10-04 13:00:00,HOU,MIN,23,31,MIN,HOU,,
51,4,2020-10-04 13:00:00,DET,NO,29,35,NO,DET,,
52,4,2020-10-04 13:00:00,CAR,ARI,31,21,CAR,ARI,,
53,4,2020-10-04 13:00:00,MIA,SEA,23,31,SEA,MIA,,
54,4,2020-10-04 13:00:00,WAS,BAL,17,31,BAL,WAS,,
55,4,2020-10-04 13:00:00,DAL,CLE,38,49,CLE,DAL,,
56,4,2020-10-04 13:00:00,CIN,JAX,33,25,CIN,JAX,,
57,4,2020-10-04 13:00:00,CHI,IND,11,19,IND,CHI,,
58,4,2020-10-04 16:05:00,LAR,NYG,17,9,LAR,NYG,,
59,4,2020-10-04 16:25:00,LV,BUF,23,30,BUF,LV,,
60,4,2020-10-04 20:20:00,SF,PHI,20,25,PHI,SF,,
61,4,2020-10-05 19:05:00,KC,NE,26,10,KC,NE,,
62,4,2020-10-05 20:15:00,GB,ATL,30,16,GB,ATL,,
63,5,2020-10-08 20:20:00,CHI,TB,20,19,CHI,TB,,
64,5,2020-10-11 13:00:00,PIT,PHI,38,29,PIT,PHI,,
65,5,2020-10-11 13:00:00,BAL,CIN,27,3,BAL,CIN,,
66,5,2020-10-11 13:00:00,WAS,LAR,10,30,LAR,WAS,,
67,5,2020-10-11 13:00:00,ATL,CAR,16,23,CAR,ATL,,
68,5,2020-10-11 13:00:00,HOU,JAX,30,14,HOU,JAX,,
69,5,2020-10-11 13:00:00,KC,LV,32,40,LV,KC,,
70,5,2020-10-11 13:00:00,NYJ,ARI,10,30,ARI,NYJ,,
71,5,2020-10-11 16:05:00,SF,MIA,17,43,MIA,SF,,
72,5,2020-10-11 16:25:00,CLE,IND,32,23,CLE,IND,,
73,5,2020-10-11 16:25:00,DAL,NYG,37,34,DAL,NYG,,
74,5,2020-10-11 20:20:00,SEA,MIN,27,26,SEA,MIN,,
75,5,2020-10-12 20:15:00,NO,LAC,30,27,NO,LAC,,
76,5,2020-10-13 19:00:00,TEN,BUF,42,16,TEN,BUF,,
77,6,2020-10-18 13:00:00,NE,DEN,12,18,DEN,NE,,
78,6,2020-10-18 13:00:00,JAX,DET,16,34,DET,JAX,,
79,6,2020-10-18 13:00:00,PHI,BAL,28,30,BAL,PHI,,
80,6,2020-10-18 13:00:00,PIT,CLE,38,7,PIT,CLE,,
81,6,2020-10-18 13:00:00,IND,CIN,31,27,IND,CIN,,
82,6,2020-10-18 13:00:00,MIN,ATL,23,40,ATL,MIN,,
83,6,2020-10-18 13:00:00,CAR,CHI,16,23,CHI,CAR,,
84,6,2020-10-18 13:00:00,TEN,HOU,42,36,TEN,HOU,,
85,6,2020-10-18 13:00:00,NYG,WAS,20,19,NYG,WAS,,
86,6,2020-10-18 16:05:00,MIA,NYJ,24,0,MIA,NYJ,,
87,6,2020-10-18 16:25:00,TB,GB,38,10,TB,GB,,
88,6,2020-10-18 20:20:00,SF,LAR,24,16,SF,LAR,,
89,6,2020-10-19 17:00:00,BUF,KC,17,26,KC,BUF,,
90,6,2020-10-19 20:15:00,DAL,ARI,10,38,ARI,DAL,,
91,7,2020-10-22 20:20:00,PHI,NYG,22,21,PHI,NYG,,
92,7,2020-10-25 13:00:00,HOU,GB,20,35,GB,HOU,,
93,7,2020-10-25 13:00:00,TEN,PIT,24,27,PIT,TEN,,
94,7,2020-10-25 13:00:00,NO,CAR,27,24,NO,CAR,,
95,7,2020-10-25 13:00:00,NYJ,BUF,10,18,BUF,NYJ,,
96,7,2020-10-25 13:00:00,WAS,DAL,25,3,WAS,DAL,,
97,7,2020-10-25 13:00:00,CIN,CLE,34,37,CLE,CIN,,
98,7,2020-10-25 13:00:00,ATL,DET,22,23,DET,ATL,,
99,7,2020-10-25 16:05:00,LV,TB,20,45,TB,LV,,
100,7,2020-10-25 16:25:00,DEN,KC,16,43,KC,DEN,,
101,7,2020-10-25 16:25:00,NE,SF,6,33,SF,NE,,
102,7,2020-10-25 16:25:00,LAC,JAX,39,29,LAC,JAX,,
103,7,2020-10-25 20:20:00,ARI,SEA,37,34,ARI,SEA,,
104,7,2020-10-26 20:15:00,LAR,CHI,24,10,LAR,CHI,,
105,8,2020-10-29 20:20:00,CAR,ATL,17,25,ATL,CAR,,
106,8,2020-11-01 13:00:00,GB,MIN,22,28,MIN,GB,,
107,8,2020-11-01 13:00:00,MIA,LAR,28,17,MIA,LAR,,
108,8,2020-11-01 13:00:00,BAL,PIT,24,28,PIT,BAL,,
109,8,2020-11-01 13:00:00,DET,IND,21,41,IND,DET,,
110,8,2020-11-01 13:00:00,KC,NYJ,35,9,KC,NYJ,,
111,8,2020-11-01 13:00:00,BUF,NE,24,21,BUF,NE,,
112,8,2020-11-01 13:00:00,CLE,LV,6,16,LV,CLE,,
113,8,2020-11-01 13:00:00,CIN,TEN,31,20,CIN,TEN,,
114,8,2020-11-01 16:05:00,DEN,LAC,31,30,DEN,LAC,,
115,8,2020-11-01 16:25:00,SEA,SF,37,27,SEA,SF,,
116,8,2020-11-01 16:25:00,CHI,NO,23,26,NO,CHI,,
117,8,2020-11-01 20:20:00,PHI,DAL,23,9,PHI,DAL,,
118,8,2020-11-02 20:15:00,NYG,TB,23,25,TB,NYG,,
119,9,2020-11-05 20:20:00,SF,GB,,,,,,
120,9,2020-11-08 13:00:00,WAS,NYG,,,,,,
121,9,2020-11-08 13:00:00,JAX,HOU,,,,,,
122,9,2020-11-08 13:00:00,TEN,CHI,,,,,,
123,9,2020-11-08 13:00:00,KC,CAR,,,,,,
124,9,2020-11-08 13:00:00,BUF,SEA,,,,,,
125,9,2020-11-08 13:00:00,MIN,DET,,,,,,
126,9,2020-11-08 13:00:00,ATL,DEN,,,,,,
127,9,2020-11-08 13:00:00,IND,BAL,,,,,,
128,9,2020-11-08 16:05:00,LAC,LV,,,,,,
129,9,2020-11-08 16:25:00,DAL,PIT,,,,,,
130,9,2020-11-08 16:25:00,ARI,MIA,,,,,,
131,9,2020-11-08 20:20:00,TB,NO,,,,,,
132,9,2020-11-09 20:15:00,NYJ,NE,,,,,,
133,10,2020-11-12 20:20:00,TEN,IND,,,,,,
134,10,2020-11-15 13:00:00,GB,JAX,,,,,,
135,10,2020-11-15 13:00:00,CAR,TB,,,,,,
136,10,2020-11-15 13:00:00,CLE,HOU,,,,,,
137,10,2020-11-15 13:00:00,NYG,PHI,,,,,,
138,10,2020-11-15 13:00:00,DET,WAS,,,,,,
139,10,2020-11-15 16:05:00,LV,DEN,,,,,,
140,10,2020-11-15 16:05:00,ARI,BUF,,,,,,
141,10,2020-11-15 16:05:00,MIA,LAC,,,,,,
142,10,2020-11-15 16:25:00,PIT,CIN,,,,,,
143,10,2020-11-15 16:25:00,NO,SF,,,,,,
144,10,2020-11-15 16:25:00,LAR,SEA,,,,,,
145,10,2020-11-15 20:20:00,NE,BAL,,,,,,
146,10,2020-11-16 20:15:00,CHI,MIN,,,,,,
147,11,2020-11-19 20:20:00,SEA,ARI,,,,,,
148,11,2020-11-22 13:00:00,CAR,DET,,,,,,
149,11,2020-11-22 13:00:00,NO,ATL,,,,,,
150,11,2020-11-22 13:00:00,WAS,CIN,,,,,,
151,11,2020-11-22 13:00:00,HOU,NE,,,,,,
152,11,2020-11-22 13:00:00,IND,GB,,,,,,
153,11,2020-11-22 13:00:00,BAL,TEN,,,,,,
