No.,Player,Age,Wt,Ht,Yrs,Team,QB,RB,WR,TE,K,DST
17,DJ Chark,24,198,193,2,JAX,0,0,1,0,0,0
84,Keelan Cole,27,194,185,3,JAX,0,0,1,0,0,0
18,Chris Conley,28,205,190,5,JAX,0,0,1,0,0,0
31,Nathan Cottrell,24,193,180,0,JAX,0,1,0,0,0,0
87,Tyler Davis ,23,0,0,0,JAX,0,0,0,1,0,0
88,Tyler Eifert,30,255,198,7,JAX,0,0,0,1,0,0
86,Ben Ellefson,24,250,190,0,JAX,0,0,0,1,0,0
,Jaguars,,,,,JAX,0,0,0,0,0,1
14,Terry Godwin,24,185,180,0,JAX,0,0,1,0,0,0
19,Collin Johnson,23,222,198,0,JAX,0,0,1,0,0,0
6,Jake Luton,24,224,198,0,JAX,1,0,0,0,0,0
3,Chase McLaughlin,24,187,180,1,JAX,0,0,0,0,1,0
15,Gardner Minshew II,24,225,185,1,JAX,1,0,0,0,0,0
80,James O'Shaughnessy,28,245,193,5,JAX,0,0,0,1,0,0
33,Dare Ogunbowale,26,205,177,3,JAX,0,1,0,0,0,0
22,Devine Ozigbo,24,225,182,1,JAX,0,1,0,0,0,0
30,James Robinson,22,220,177,0,JAX,0,1,0,0,0,0
2,Aldrick Rosas,26,221,190,3,JAX,0,0,0,0,1,0
82,Eric Saubert,26,253,195,3,JAX,0,0,0,1,0,0
10,Laviska Shenault Jr.,22,227,185,0,JAX,0,0,1,0,0,0
