Name,Team,Pass Yds,Pass Tds,Pass Ints,Rush Yds,Rush Tds,Rec Yds,Rec Tds,2 Point Conversions,Fumbles Lost,Fumbles Recovered For Tds,Pat Made,FG Made 0to49,FG Made 50 Plus,Sacks,Def Ints,Fumbles Recovered,Safeties,Def Tds,Kick Punt Return Tds,2 Point Conversion Returns,Pnts All 0,Pnts All 1to6,Pnts All 7to13,Pnts All 14to20,Pnts All 21to27,Pnts All 28to34,Pnts All 35 Plus
Kyler Murray,ARI,269,2,0,15,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenyan Drake,ARI,0,0,0,29,1,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Edmonds,ARI,0,0,0,13,0,36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,62,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,51,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kirk,ARI,0,0,0,0,0,50,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxx Williams,ARI,0,0,0,0,0,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Isabella,ARI,0,0,0,0,0,6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Arnold,ARI,0,0,0,0,0,4,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,SEA,197,2,0,42,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Hyde,SEA,0,0,0,79,1,16,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Scarbrough,SEA,0,0,0,31,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,SEA,0,0,0,13,0,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,SEA,0,0,0,0,0,67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.K. Metcalf,SEA,0,0,0,0,0,46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Olsen,SEA,0,0,0,0,0,20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Hollister,SEA,0,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Dissly,SEA,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Moore,SEA,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,ARI,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Lee,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Myers,SEA,0,0,0,0,0,0,0,0,0,0,2,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Dickson,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seahawks,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,2,1,0,0,0,0,0,0,0,1,0,0
Cardinals,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0
