,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
0,89,Mark Andrews,24,TE,256,6-5,Oklahoma,2,,BAL,0,0,0,1,0
3,80,Miles Boykin,24,WR,220,6-4,Notre Dame,1,,BAL,0,0,1,0,0
4,86,Nick Boyle,27,TE,270,6-4,Delaware,5,,BAL,0,0,0,1,0
7,15,Marquise Brown ,23,WR,170,5-9,Oklahoma,1,,BAL,0,0,1,0,0
13,27,J.K. Dobbins ,22,RB,209,5-9,Ohio St.,Rook,,BAL,0,1,0,0,0
15,13,Devin Duvernay ,23,WR,200,5-10,Texas,Rook,,BAL,0,0,1,0,0
16,35,Gus Edwards ,25,RB,238,6-1,"Miami (FL),Rutgers",2,,BAL,0,1,0,0,0
22,3,Robert Griffin III,30,QB,213,6-2,Baylor,8,,BAL,1,0,0,0,0
24,43,Justice Hill,23,RB,200,5-10,Oklahoma St.,1,,BAL,0,1,0,0,0
25,21,Mark Ingram,31,RB,215,5-9,Alabama,9,,BAL,0,1,0,0,0
26,8,Lamar Jackson,23,QB,212,6-2,Louisville,2,,BAL,1,0,0,0,0
32,7,Trace McSorley,25,QB,202,6-0,Penn St.,1,,BAL,1,0,0,0,0
34,10,Chris Moore,27,WR,200,6-1,Cincinnati,4,,BAL,0,0,1,0,0
39,11,James Proche,24,WR,201,5-11,SMU,Rook,,BAL,0,0,1,0,0
45,83,Willie Snead ,28,WR,205,5-11,Ball St.,6,,BAL,0,0,1,0,0
47,9,Justin Tucker,31,K,183,6-1,Texas,8,,BAL,0,0,0,0,1
