,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
0,11,Robby Anderson,27,WR,190,6-3,Temple,4,,CAR,0,0,1,0,0
1,40,Alex Armah,26,FB,255,6-2,West Georgia,3,,CAR,0,1,0,0,0
3,5,Teddy Bridgewater,28,QB,215,6-2,Louisville,6,,CAR,1,0,0,0,0
6,36,Trenton Cannon,26,RB,185,5-11,Virginia St.,2,,CAR,0,1,0,0,0
11,14,Pharoh Cooper,25,WR,208,5-11,South Carolina,4,,CAR,0,0,1,0,0
13,28,Mike Davis ,27,RB,221,5-9,South Carolina,5,,CAR,0,1,0,0,0
16,7,Will Grier,25,QB,220,6-1,"Florida,West Virginia",1,,CAR,1,0,0,0,0
25,82,Chris Manhertz,28,TE,255,6-6,Canisius,6,,CAR,0,0,0,1,0
27,12,D.J. Moore,23,WR,215,5-11,Maryland,2,,CAR,0,0,1,0,0
36,10,Curtis Samuel ,24,WR,195,5-11,Ohio St.,3,,CAR,0,0,1,0,0
38,4,Joey Slye,24,K,213,5-11,Virginia Tech,1,,CAR,0,0,0,0,1
42,80,Ian Thomas,24,TE,260,6-3,Indiana,2,,CAR,0,0,0,1,0
44,86,Colin Thompson,27,TE,255,6-4,"Temple,Florida",Rook,,CAR,0,0,0,1,0
46,6,Phillip Walker,25,QB,212,5-11,Temple,2,,CAR,1,0,0,0,0
49,16,Brandon Zylstra,27,WR,215,6-2,Concordia-Moorhead (MN),2,,CAR,0,0,1,0,0
