,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
6,25,Giovani Bernard,29,RB,205,5-9,North Carolina,7,,CIN,0,1,0,0,0
8,83,Tyler Boyd,26,WR,203,6-2,Pittsburgh,4,,CIN,0,0,1,0,0
10,4,Randy Bullock,31,K,210,5-9,Texas A&M,8,,CIN,0,0,0,0,1
11,9,Joe Burrow ,24,QB,221,6-3,"Ohio St.,LSU",Rook,,CIN,1,0,0,0,0
13,82,Cethan Carter ,25,TE,248,6-3,Nebraska,3,,CIN,0,0,0,1,0
17,12,Alex Erickson ,28,WR,195,6-0,Wisconsin,4,,CIN,0,0,1,0,0
19,5,Ryan Finley,26,QB,207,6-4,North Carolina St.,1,,CIN,1,0,0,0,0
21,18,A.J. Green,32,WR,210,6-4,Georgia,9,,CIN,0,0,1,0,0
22,46,Clark Harris,36,TE,250,6-5,Rutgers,12,,CIN,0,0,0,1,0
24,85,Tee Higgins ,21,WR,216,6-4,Clemson,Rook,,CIN,0,0,1,0,0
33,28,Joe Mixon,24,RB,220,6-1,Oklahoma,3,,CIN,0,1,0,0,0
34,34,Samaje Perine,25,RB,240,5-11,Oklahoma,3,,CIN,0,1,0,0,0
39,11,John Ross ,26,WR,194,5-11,Washington,3,,CIN,0,0,1,0,0
40,89,Drew Sample,24,TE,258,6-4,Washington,1,,CIN,0,0,0,1,0
41,86,Mason Schreck,27,TE,252,6-5,Buffalo,2,,CIN,0,0,0,1,0
42,3,Austin Seibert,24,K,214,5-9,Oklahoma,1,,CIN,0,0,0,0,1
45,19,Auden Tate,23,WR,228,6-5,Florida St.,2,,CIN,0,0,1,0,0
46,80,Mike Thomas,26,WR,189,6-1,Southern Miss,4,,CIN,0,0,1,0,0
49,32,Trayveon Williams,23,RB,206,5-8,Texas A&M,1,,CIN,0,1,0,0,0
