,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
7,80,Jake Butt,25,TE,250,6-6,Michigan,2,,DEN,0,0,0,1,0
12,16,Tyrie Cleveland,23,WR,209,6-2,Florida,Rook,,DEN,0,0,1,0,0
13,35,Jeremy Cox,24,RB,235,6-0,Old Dominion,Rook,,DEN,0,1,0,0,0
17,9,Jeff Driskel,27,QB,235,6-4,"Florida,Louisiana Tech",2,,DEN,1,0,0,0,0
18,87,Noah Fant,23,TE,249,6-4,Iowa,1,,DEN,0,0,0,1,0
19,28,Royce Freeman,24,RB,238,6-0,Oregon,2,,DEN,0,1,0,0,0
20,25,Melvin Gordon,27,RB,215,6-1,Wisconsin,5,,DEN,0,1,0,0,0
21,17,DaeSean Hamilton,25,WR,206,6-1,Penn St.,2,,DEN,0,0,1,0,0
22,13,KJ Hamler ,21,WR,178,5-9,Penn St.,Rook,,DEN,0,0,1,0,0
26,10,Jerry Jeudy ,21,WR,193,6-1,Alabama,Rook,,DEN,0,0,1,0,0
31,30,Phillip Lindsay,26,RB,190,5-8,Colorado,2,,DEN,0,1,0,0,0
32,3,Drew Lock,24,QB,228,6-4,Missouri,1,,DEN,1,0,0,0,0
36,8,Brandon McManus,29,K,201,6-3,Temple,6,,DEN,0,0,0,0,1
39,85,Albert Okwuegbunam ,22,TE,258,6-5,Missouri,Rook,,DEN,0,0,0,1,0
40,81,Tim Patrick,27,WR,212,6-4,Utah,2,,DEN,0,0,1,0,0
44,4,Brett Rypien,24,QB,202,6-2,Boise St.,Rook,,DEN,1,0,0,0,0
47,11,Diontae Spencer,28,WR,170,5-8,McNeese St.,1,,DEN,0,0,1,0,0
48,88,Nick Vannett,27,TE,261,6-6,Ohio St.,4,,DEN,0,0,0,1,0
