,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
2,13,Keenan Allen,28,WR,211,6-2,California,7,,LAC,0,0,1,0,0
3,82,Stephen Anderson,27,TE,230,6-3,California,4,,LAC,0,0,0,1,0
4,4,Michael Badgley,25,K,183,5-10,Miami (FL),2,,LAC,0,0,0,0,1
14,15,Jalen Guyton,23,WR,212,6-1,North Texas,1,,LAC,0,0,1,0,0
16,86,Hunter Henry ,26,TE,250,6-5,Arkansas,4,,LAC,0,0,0,1,0
17,10,Justin Herbert ,22,QB,236,6-6,Oregon,Rook,,LAC,1,0,0,0,0
18,84,K.J. Hill,23,WR,196,6-0,Ohio St.,Rook,,LAC,0,0,1,0,0
20,22,Justin Jackson,25,RB,199,6-0,Northwestern,2,,LAC,0,1,0,0,0
23,83,Tyron Johnson,24,WR,193,6-1,Oklahoma St.,Rook,,LAC,0,0,1,0,0
26,27,Joshua Kelley,23,RB,212,5-11,"California-Davis,UCLA",Rook,,LAC,0,1,0,0,0
31,40,Gabe Nabers,23,RB,243,6-3,Florida St.,Rook,,LAC,0,1,0,0,0
34,48,Donald Parham,23,TE,237,6-8,Stetson University,Rook,,LAC,0,0,0,1,0
37,35,Troymaine Pope,27,RB,205,5-9,Jacksonville St.,4,,LAC,0,1,0,0,0
39,12,Joe Reed,22,WR,224,6-0,Virginia,Rook,,LAC,0,0,1,0,0
43,2,Easton Stick,25,QB,224,6-1,North Dakota St.,Rook,,LAC,1,0,0,0,0
44,5,Tyrod Taylor ,31,QB,217,6-1,Virginia Tech,9,,LAC,1,0,0,0,0
51,81,Mike Williams ,26,WR,220,6-4,Clemson,3,,LAC,0,0,1,0,0
