,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
1,15,Nelson Agholor,27,WR,198,6-0,USC,5,,LV,0,0,1,0,0
2,23,Devontae Booker,28,RB,219,5-11,Utah,4,,LV,0,1,0,0,0
4,2,Daniel Carlson,25,K,215,6-5,Auburn,2,,LV,0,0,0,0,1
5,4,Derek Carr,29,QB,210,6-3,Fresno St.,6,,LV,1,0,0,0,0
6,85,Derek Carrier,30,WR,240,6-3,Beloit,8,,LV,0,0,1,0,0
10,89,Bryan Edwards ,22,WR,212,6-3,South Carolina,Rook,,LV,0,0,1,0,0
12,10,Rico Gafford,24,WR,185,5-10,Wyoming,2,,LV,0,0,1,0,0
19,45,Alec Ingold,24,FB,240,6-1,Wisconsin,1,,LV,0,1,0,0,0
21,28,Josh Jacobs,22,RB,220,5-10,Alabama,1,,LV,0,1,0,0,0
24,12,Zay Jones ,25,WR,200,6-2,East Carolina,3,,LV,0,0,1,0,0
31,8,Marcus Mariota,27,QB,222,6-4,Oregon,5,,LV,1,0,0,0,0
34,87,Foster Moreau,23,TE,250,6-4,LSU,1,,LV,0,0,0,1,0
41,3,Nathan Peterman ,26,QB,225,6-2,"Tennessee,Pittsburgh",3,,LV,1,0,0,0,0
42,13,Hunter Renfrow,25,WR,185,5-10,Clemson,1,,LV,0,0,1,0,0
43,30,Jalen Richard,27,RB,205,5-8,Southern Miss,4,,LV,0,1,0,0,0
45,11,Henry Ruggs III,21,WR,188,5-11,Alabama,Rook,,LV,0,0,1,0,0
49,83,Darren Waller,28,TE,255,6-6,Georgia Tech,5,,LV,0,0,0,1,0
51,82,Jason Witten,38,TE,263,6-6,Tennessee,17,,LV,0,0,0,1,0
