,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
0,26,Salvon Ahmed,22,RB,196,5-11,Washington,Rook,,MIA,0,1,0,0,0
2,15,Lynn Bowden Jr.,23,WR,204,5-11,Kentucky,Rook,,MIA,0,0,1,0,0
3,20,Matt Breida,25,RB,190,5-10,Georgia Southern,3,,MIA,0,1,0,0,0
4,27,Chandler Cox,24,RB,240,6-1,Auburn,1,,MIA,0,1,0,0,0
12,14,Ryan Fitzpatrick,38,QB,228,6-2,Harvard,15,,MIA,1,0,0,0,0
14,84,Isaiah Ford,24,WR,194,6-2,Virginia Tech,2,,MIA,0,0,1,0,0
16,37,Myles Gaskin,23,RB,200,5-10,Washington,1,,MIA,0,1,0,0,0
17,88,Mike Gesicki,25,TE,250,6-6,Penn St.,2,,MIA,0,0,0,1,0
18,19,Jakeem Grant,28,WR,171,5-7,Texas Tech,4,,MIA,0,0,1,0,0
21,86,Mack Hollins,27,WR,221,6-4,North Carolina,3,,MIA,0,0,1,0,0
22,34,Jordan Howard,26,RB,224,6-0,Indiana,4,,MIA,0,1,0,0,0
30,32,Patrick Laird,25,RB,205,6-0,California,1,,MIA,0,1,0,0,0
37,11,DeVante Parker,27,WR,216,6-3,Louisville,5,,MIA,0,0,1,0,0
39,10,Malcolm Perry,23,WR,186,5-9,Navy,Rook,,MIA,0,0,1,0,0
42,7,Jason Sanders,25,K,186,5-11,New Mexico,2,,MIA,0,0,0,0,1
43,80,Adam Shaheen,26,TE,257,6-6,Ashland,3,,MIA,0,0,0,1,0
45,81,Durham Smythe,25,TE,260,6-6,Notre Dame,2,,MIA,0,0,0,1,0
47,1,Tua Tagovailoa ,22,QB,217,6-0,Alabama,Rook,,MIA,1,0,0,0,0
51,18,Preston Williams,23,WR,218,6-5,Colorado St.,1,,MIA,0,0,1,0,0
