,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
1,86,Devin Asiasi ,23,TE,257,6-3,"Michigan,UCLA",Rook,,NE,0,0,0,1,0
7,34,Rex Burkhead ,30,RB,215,5-10,Nebraska,7,,NE,0,1,0,0,0
9,10,Damiere Byrd ,27,WR,180,5-9,South Carolina,4,,NE,0,0,1,0,0
18,6,Nick Folk,36,K,211,6-2,Arizona,13,,NE,0,0,0,0,1
22,37,Damien Harris ,23,RB,213,5-11,Alabama,1,,NE,0,1,0,0,0
23,15,N'Keal Harry ,23,WR,225,6-4,Arizona St.,1,,NE,0,0,1,0,0
24,2,Brian Hoyer ,35,QB,216,6-2,Michigan St.,11,,NE,1,0,0,0,0
25,85,Ryan Izzo,25,TE,255,6-5,Florida St.,2,,NE,0,0,0,1,0
28,47,Jakob Johnson,26,FB,255,6-3,Tennessee,1,,NE,0,1,0,0,0
30,44,Dalton Keene ,21,TE,253,6-4,Virginia Tech,Rook,,NE,0,0,0,1,0
35,16,Jakobi Meyers,24,WR,200,6-2,North Carolina St.,1,,NE,0,0,1,0,0
36,1,Cam Newton,31,QB,245,6-5,"Florida,Blinn College (TX),Auburn",9,,NE,1,0,0,0,0
37,80,Gunner Olszewski,24,WR,190,6-0,Bemidji St.,1,,NE,0,0,1,0,0
42,18,Matthew Slater,35,WR,205,6-0,UCLA,12,,NE,0,0,1,0,0
43,4,Jarrett Stidham,24,QB,215,6-3,Auburn,1,,NE,1,0,0,0,0
44,42,J.J. Taylor,22,RB,185,5-6,Arizona,Rook,,NE,0,1,0,0,0
48,28,James White ,28,RB,205,5-10,Wisconsin,6,,NE,0,1,0,0,0
