,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
0,11,Brandon Aiyuk ,22,WR,205,6-0,Arizona St.,Rook,,SF,0,0,1,0,0
4,3,C.J. Beathard,27,QB,215,6-2,Iowa,3,,SF,1,0,0,0,0
5,84,Kendrick Bourne,25,WR,203,6-1,East. Washington,3,,SF,0,0,1,0,0
7,26,Tevin Coleman,27,RB,210,6-1,Indiana,5,,SF,0,1,0,0,0
9,82,Ross Dwelley,25,TE,240,6-5,San Diego,2,,SF,0,0,0,1,0
11,10,Jimmy Garoppolo,29,QB,225,6-2,East. Illinois,6,,SF,1,0,0,0,0
13,9,Robbie Gould,38,K,190,6-0,Penn St.,15,,SF,0,0,0,0,1
16,83,Chase Harrell,24,TE,249,6-4,Arkansas,Rook,,SF,0,0,0,1,0
18,38,Jamycal Hasty,24,RB,205,5-9,Baylor,Rook,,SF,0,1,0,0,0
20,13,Richie James,25,WR,185,5-9,Middle Tenn. St.,2,,SF,0,0,1,0,0
24,44,Kyle Juszczyk,29,FB,240,6-1,Harvard,7,,SF,0,1,0,0,0
26,85,George Kittle,27,TE,250,6-4,Iowa,3,,SF,0,0,0,1,0
28,28,Jerick McKinnon ,28,RB,205,5-9,Georgia Southern,6,,SF,0,1,0,0,0
32,4,Nick Mullens ,25,QB,210,6-1,Southern Miss,2,,SF,1,0,0,0,0
34,18,Dante Pettis,25,WR,195,6-1,Washington,2,,SF,0,0,1,0,0
35,19,Deebo Samuel,24,WR,214,5-11,South Carolina,1,,SF,0,0,1,0,0
40,15,Trent Taylor,26,WR,180,5-8,Louisiana Tech,3,,SF,0,0,1,0,0
52,89,Charlie Woerner,23,TE,244,6-5,Georgia,Rook,,SF,0,0,0,1,0
