,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K
1,82,Antony Auclair,27,TE,256,6-6,Laval,3,,TB,0,0,0,1,0
2,38,Kenjon Barner,30,RB,195,5-9,Oregon,7,,TB,0,1,0,0,0
4,12,Tom Brady ,43,QB,225,6-4,Michigan,20,,TB,1,0,0,0,0
5,84,Cameron Brate,29,TE,245,6-5,Harvard,6,,TB,0,0,0,1,0
6,81,Antonio Brown ,32,WR,185,5-10,Central Michigan,10,,TB,0,0,1,0,0
14,13,Mike Evans,27,WR,231,6-5,Texas A&M,6,,TB,0,0,1,0,0
15,28,Leonard Fournette ,25,RB,228,6-0,LSU,3,,TB,0,1,0,0,0
16,11,Blaine Gabbert,31,QB,235,6-4,Missouri,9,,TB,1,0,0,0,0
19,14,Chris Godwin,24,WR,209,6-1,Penn St.,3,,TB,0,0,1,0,0
20,15,Cyril Grayson,27,WR,183,5-9,LSU,2,,TB,0,0,1,0,0
21,4,Ryan Griffin,31,QB,210,6-5,Tulane,7,,TB,1,0,0,0,0
22,87,Rob Gronkowski,31,TE,268,6-6,Arizona,10,,TB,0,0,0,1,0
24,88,Tanner Hudson,26,TE,239,6-5,Southern Arkansas,1,,TB,0,0,0,1,0
26,18,Tyler Johnson,22,WR,206,6-1,Minnesota,Rook,,TB,0,0,1,0,0
27,27,Ronald Jones II,23,RB,208,5-11,USC,2,,TB,0,1,0,0,0
29,25,LeSean McCoy,32,RB,210,5-11,Pittsburgh,11,,TB,0,1,0,0,0
31,85,Jaydon Mickens,26,WR,170,5-11,Washington,3,,TB,0,0,1,0,0
32,10,Scott Miller ,23,WR,174,5-11,Bowling Green,1,,TB,0,0,1,0,0
45,3,Ryan Succop,34,K,218,6-2,South Carolina,11,,TB,0,0,0,0,1
48,30,Ke'Shawn Vaughn ,23,RB,214,5-10,"Illinois,Vanderbilt",Rook,,TB,0,1,0,0,0
49,17,Justin Watson,25,WR,215,6-3,Pennsylvania,2,,TB,0,0,1,0,0
