,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
4,9,Nick Foles,31,QB,243,6-6,Arizona,8,,CHI,1,0,0,0,0,0
6,19,Ted Ginn Jr.,35,WR,180,5-11,Ohio St.,13,,CHI,0,0,1,0,0,0
9,80,Jimmy Graham,34,TE,265,6-7,Miami (FL),10,,CHI,0,0,0,1,0,0
11,86,Demetrius Harris,29,TE,230,6-7,Wisconsin–Milwaukee,7,,CHI,0,0,0,1,0,0
13,81,J.P. Holtz,27,TE,240,6-3,Pittsburgh,2,,CHI,0,0,0,1,0,0
20,85,Cole Kmet ,21,TE,262,6-6,Notre Dame,Rook,,CHI,0,0,0,1,0,0
25,17,Anthony Miller,26,WR,199,5-11,Memphis,2,,CHI,0,0,1,0,0,0
27,32,David Montgomery,23,RB,222,5-10,Iowa St.,1,,CHI,0,1,0,0,0,0
28,11,Darnell Mooney,23,WR,176,5-10,Tulane,Rook,,CHI,0,0,1,0,0,0
30,35,Ryan Nall,25,RB,239,6-2,Oregon St.,1,,CHI,0,1,0,0,0,0
33,84,Cordarrelle Patterson,29,WR,238,6-2,Tennessee,7,,CHI,0,0,1,0,0,0
34,46,Artavis Pierce,24,RB,208,5-11,Oregon St.,Rook,,CHI,0,1,0,0,0,0
36,88,Riley Ridley,24,WR,200,6-1,Georgia,1,,CHI,0,0,1,0,0,0
38,12,Allen Robinson,27,WR,220,6-2,Penn St.,6,,CHI,0,0,1,0,0,0
39,2,Cairo Santos,29,K,160,5-8,Tulane,6,,CHI,0,0,0,0,1,0
46,10,Mitchell Trubisky ,26,QB,215,6-2,North Carolina,3,,CHI,1,0,0,0,0,0
51,83,Javon Wims,26,WR,221,6-2,Georgia,2,,CHI,0,0,1,0,0,0
