,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
2,88,Harrison Bryant,22,TE,243,6-5,Florida Atlantic,Rook,,CLE,0,0,0,1,0,0
3,89,Stephen Carlson,24,TE,240,6-4,Princeton,1,,CLE,0,0,0,1,0,0
14,82,Rashard Higgins,26,WR,198,6-1,Colorado St.,4,,CLE,0,0,1,0,0,0
15,25,Dontrell Hilliard,25,RB,202,5-11,Tulane,2,,CLE,0,1,0,0,0,0
16,12,KhaDarel Hodge,25,WR,205,6-2,Prairie View A&M,2,,CLE,0,0,1,0,0,0
17,81,Austin Hooper,26,TE,254,6-4,Stanford,4,,CLE,0,0,0,1,0,0
20,27,Kareem Hunt,25,RB,216,5-11,Toledo,3,,CLE,0,1,0,0,0,0
23,31,Andy Janovich,27,FB,238,6-1,Nebraska,4,,CLE,0,1,0,0,0,0
24,30,D'Ernest Johnson,24,RB,208,5-10,South Florida,1,,CLE,0,1,0,0,0,0
27,5,Case Keenum,32,QB,215,6-1,Houston,8,,CLE,1,0,0,0,0,0
29,80,Jarvis Landry ,28,WR,196,5-11,LSU,6,,CLE,0,0,1,0,0,0
30,6,Baker Mayfield,25,QB,215,6-1,Oklahoma,2,,CLE,1,0,0,0,0,0
33,85,David Njoku ,24,TE,246,6-4,Miami (FL),3,,CLE,0,0,0,1,0,0
35,2,Cody Parkey,28,K,190,6-0,Auburn,6,,CLE,0,0,0,0,1,0
36,11,Donovan Peoples-Jones,21,WR,212,6-2,Michigan,Rook,,CLE,0,0,1,0,0,0
44,10,Taywan Taylor,25,WR,203,5-11,Western Kentucky,3,,CLE,0,0,1,0,0,0
