,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
3,80,Blake Bell,29,TE,252,6-6,Oklahoma,5,,DAL,0,0,0,1,0,0
7,85,Noah Brown,24,WR,225,6-2,Ohio St.,3,,DAL,0,0,1,0,0,0
8,19,Amari Cooper,26,WR,210,6-1,Alabama,5,,DAL,0,0,1,0,0,0
10,14,Andy Dalton,33,QB,220,6-2,TCU,9,,DAL,1,0,0,0,0,0
12,1,Ben DiNucci,24,QB,,,"Pittsburgh,James Madison",Rook,,DAL,1,0,0,0,0,0
13,34,Rico Dowdle,22,RB,215,6-0,South Carolina,Rook,,DAL,0,1,0,0,0,0
14,21,Ezekiel Elliott,25,RB,228,6-0,Ohio St.,4,,DAL,0,1,0,0,0,0
17,13,Michael Gallup,24,WR,198,6-1,Colorado St.,2,,DAL,0,0,1,0,0,0
19,3,Garrett Gilbert,29,QB,230,6-4,"Texas,SMU",6,,DAL,1,0,0,0,0,0
20,29,C.J. Goodwin,30,WR,190,6-3,California (PA),6,,DAL,0,0,1,0,0,0
25,88,CeeDee Lamb ,21,WR,198,6-2,Oklahoma,Rook,,DAL,0,0,1,0,0,0
33,84,Sean McKeon,23,TE,246,6-5,Michigan,Rook,,DAL,0,0,0,1,0,0
35,20,Tony Pollard,23,RB,209,6-0,Memphis,1,,DAL,0,1,0,0,0,0
37,86,Dalton Schultz,24,TE,244,6-5,Stanford,2,,DAL,0,0,0,1,0,0
44,17,Malik Turner,24,WR,202,6-2,Illinois,2,,DAL,0,0,1,0,0,0
47,11,Cedrick Wilson,25,WR,188,6-5,Boise St.,2,,DAL,0,0,1,0,0,0
51,2,Greg Zuerlein,33,K,191,6-0,Missouri Western St.,8,,DAL,0,0,0,0,1,0
