,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
7,17,DJ Chark,24,WR,198,6-4,LSU,2,,JAX,0,0,1,0,0,0
9,84,Keelan Cole,27,WR,194,6-1,Kentucky Wesleyan,3,,JAX,0,0,1,0,0,0
10,18,Chris Conley,28,WR,205,6-3,Georgia,5,,JAX,0,0,1,0,0,0
14,87,Tyler Davis ,23,TE,,,"Connecticut,Georgia Tech",Rook,,JAX,0,0,0,1,0,0
15,88,Tyler Eifert,30,TE,255,6-6,Notre Dame,7,,JAX,0,0,0,1,0,0
17,86,Ben Ellefson,24,TE,250,6-3,North Dakota St.,Rook,,JAX,0,0,0,1,0,0
18,2,Mike Glennon,31,QB,225,6-7,North Carolina St.,7,,JAX,1,0,0,0,0,0
24,19,Collin Johnson,23,WR,222,6-6,Texas,Rook,,JAX,0,0,1,0,0,0
27,4,Josh Lambo,30,K,215,6-0,Texas A&M,5,,JAX,0,0,0,0,1,0
29,6,Jake Luton,24,QB,224,6-6,"Idaho,Oregon St.",Rook,,JAX,1,0,0,0,0,0
32,15,Gardner Minshew II,24,QB,225,6-1,Washington St.,1,,JAX,1,0,0,0,0,0
34,80,James O'Shaughnessy,28,TE,245,6-4,Illinois St.,5,,JAX,0,0,0,1,0,0
35,33,Dare Ogunbowale,26,RB,205,5-10,Wisconsin,3,,JAX,0,1,0,0,0,0
36,22,Devine Ozigbo,24,RB,225,6-0,Nebraska,1,,JAX,0,1,0,0,0,0
41,30,James Robinson,22,RB,220,5-10,Illinois St.,Rook,,JAX,0,1,0,0,0,0
45,10,Laviska Shenault Jr.,22,WR,227,6-1,Colorado,Rook,,JAX,0,0,1,0,0,0
49,34,Chris Thompson,30,RB,195,5-8,Florida St.,7,,JAX,0,1,0,0,0,0
