,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
0,31,Ameer Abdullah,27,RB,203,5-9,Nebraska,5,,MIN,0,1,0,0,0,0
1,5,Dan Bailey,32,K,190,6-0,Oklahoma St.,9,,MIN,0,0,0,0,1,0
2,12,Chad Beebe,26,WR,183,5-10,Northern Illinois,2,,MIN,0,0,1,0,0,0
3,23,Mike Boone,25,RB,206,5-10,Cincinnati,2,,MIN,0,1,0,0,0,0
7,85,Dan Chisena,23,WR,202,6-3,Penn St.,Rook,,MIN,0,0,1,0,0,0
10,83,Tyler Conklin,25,TE,254,6-3,Central Michigan,2,,MIN,0,0,0,1,0,0
12,33,Dalvin Cook,25,RB,210,5-10,Florida St.,3,,MIN,0,1,0,0,0,0
13,8,Kirk Cousins ,32,QB,202,6-3,Michigan St.,8,,MIN,1,0,0,0,0,0
20,30,C.J. Ham,27,RB,235,5-11,Augustana (SD),3,,MIN,0,1,0,0,0,0
26,18,Justin Jefferson ,21,WR,202,6-1,LSU,Rook,,MIN,0,0,1,0,0,0
28,81,Olabisi Johnson,23,WR,204,6-0,Colorado St.,1,,MIN,0,0,1,0,0,0
32,4,Sean Mannion,28,QB,230,6-6,Oregon St.,5,,MIN,1,0,0,0,0,0
33,25,Alexander Mattison,22,RB,220,5-11,Boise St.,1,,MIN,0,1,0,0,0,0
38,17,K.J. Osborn,23,WR,203,5-11,"Buffalo,Miami (FL)",Rook,,MIN,0,0,1,0,0,0
41,82,Kyle Rudolph ,31,TE,265,6-6,Notre Dame,9,,MIN,0,0,0,1,0,0
43,11,Tajae Sharpe,26,WR,194,6-2,Massachusetts,4,,MIN,0,0,1,0,0,0
45,84,Irv Smith Jr.,22,TE,242,6-2,Alabama,1,,MIN,0,0,0,1,0,0
47,19,Adam Thielen,30,WR,200,6-2,Minnesota St.,7,,MIN,0,0,1,0,0,0
