,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
3,9,Drew Brees,41,QB,209,6-0,Purdue,19,,NO,1,0,0,0,0,0
5,32,Michael Burton,28,FB,240,6-0,Rutgers,5,,NO,0,1,0,0,0,0
6,12,Marquez Callaway,22,WR,204,6-2,Tennessee,Rook,,NO,0,0,1,0,0,0
7,87,Jared Cook,33,TE,254,6-5,South Carolina,11,,NO,0,0,0,1,0,0
17,34,Justin Hardee,26,WR,200,6-1,Illinois,3,,NO,0,0,1,0,0,0
18,11,Deonte Harris,23,WR,170,5-6,Assumption,1,,NO,0,0,1,0,0,0
20,89,Josh Hill,30,TE,250,6-5,Idaho St.,7,,NO,0,0,0,1,0,0
21,7,Taysom Hill,30,QB,221,6-2,BYU,3,,NO,1,0,0,0,0,0
26,41,Alvin Kamara,25,RB,215,5-10,"Hutchinson (KS),Tennessee",3,,NO,0,1,0,0,0,0
29,3,Wil Lutz,26,K,184,5-11,Georgia St.,4,,NO,0,0,0,0,1,0
32,28,Latavius Murray,30,RB,230,6-3,Central Florida,7,,NO,0,1,0,0,0,0
41,10,Tre'Quan Smith,24,WR,210,6-2,Central Florida,2,,NO,0,0,1,0,0,0
43,13,Michael Thomas,27,WR,212,6-3,Ohio St.,4,,NO,0,0,1,0,0,0
44,82,Adam Trautman ,23,TE,255,6-5,Dayton,Rook,,NO,0,0,0,1,0,0
46,24,Dwayne Washington,26,RB,223,6-1,Washington,4,,NO,0,1,0,0,0,0
49,2,Jameis Winston,26,QB,231,6-4,Florida St.,5,,NO,1,0,0,0,0,0
