,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
0,19,JJ Arcega-Whiteside,24,WR,225,6-2,Stanford,1,,PHI,0,0,1,0,0,0
3,30,Corey Clement,26,RB,220,5-10,Wisconsin,3,,PHI,0,1,0,0,0,0
5,80,Jason Croom,26,TE,246,6-5,Tennessee,2,,PHI,0,0,0,1,0,0
9,4,Jake Elliott,25,K,167,5-9,Memphis,3,,PHI,0,0,0,0,1,0
12,13,Travis Fulgham,25,WR,215,6-2,Old Dominion,1,,PHI,0,0,1,0,0,0
13,88,Dallas Goedert,25,TE,256,6-5,South Dakota St.,2,,PHI,0,0,0,1,0,0
17,82,John Hightower,24,WR,189,6-1,Boise St.,Rook,,PHI,0,0,1,0,0,0
18,32,Jason Huntley,22,RB,193,5-9,New Mexico St.,Rook,,PHI,0,1,0,0,0,0
19,2,Jalen Hurts ,22,QB,222,6-1,"Alabama,Oklahoma",Rook,,PHI,1,0,0,0,0,0
22,17,Alshon Jeffery,30,WR,218,6-3,South Carolina,8,,PHI,0,0,1,0,0,0
37,18,Jalen Reagor ,21,WR,206,5-11,TCU,Rook,,PHI,0,0,1,0,0,0
40,85,Richard Rodgers ,28,TE,257,6-4,California,6,,PHI,0,0,0,1,0,0
41,26,Miles Sanders ,23,RB,211,5-11,Penn St.,1,,PHI,0,1,0,0,0,0
42,35,Boston Scott,25,RB,203,5-6,Louisiana Tech,2,,PHI,0,1,0,0,0,0
45,7,Nate Sudfeld,27,QB,227,6-6,Indiana,3,,PHI,1,0,0,0,0,0
50,84,Greg Ward,25,WR,190,5-11,Houston,1,,PHI,0,0,1,0,0,0
51,80,Quez Watkins,,WR,185,6-0,Southern Miss,Rook,,PHI,0,0,1,0,0,0
52,11,Carson Wentz ,28,QB,237,6-5,North Dakota St.,4,,PHI,1,0,0,0,0,0
