,No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,ID,Team,QB,RB,WR,TE,K,D/ST
2,41,Khari Blasingame,24,RB,233,6-0,Vanderbilt,1,,TEN,0,1,0,0,0,0
4,48,Beau Brinkley,30,"LS,TE",260,6-4,Missouri,8,,TEN,0,0,0,0,0,0
5,11,A.J. Brown,23,WR,226,6-0,Mississippi,1,,TEN,0,0,1,0,0,0
12,84,Corey Davis ,25,WR,209,6-3,West. Michigan,3,,TEN,0,0,1,0,0,0
18,86,Anthony Firkser,25,TE,246,6-2,Harvard,2,,TEN,0,0,0,1,0,0
19,3,Stephen Gostkowski,36,K,215,6-1,Memphis,14,,TEN,0,0,0,0,1,0
20,22,Derrick Henry ,26,RB,247,6-3,Alabama,4,,TEN,0,1,0,0,0,0
22,89,Tommy Hudson,23,TE,255,6-5,Arizona St.,Rook,,TEN,0,0,0,1,0,0
23,10,Adam Humphries,27,WR,195,5-11,Clemson,5,,TEN,0,0,1,0,0,0
33,28,Jeremy McNichols ,25,RB,205,5-9,Boise St.,3,,TEN,0,1,0,0,0,0
38,85,MyCole Pruitt,28,TE,245,6-2,Southern Illinois,5,,TEN,0,0,0,1,0,0
40,14,Kalif Raymond,26,WR,182,5-8,Holy Cross,4,,TEN,0,0,1,0,0,0
45,81,Jonnu Smith,25,TE,248,6-3,Florida International,3,,TEN,0,0,0,1,0,0
47,87,Geoff Swaim,27,TE,260,6-4,Texas,5,,TEN,0,0,0,1,0,0
48,17,Ryan Tannehill,32,QB,207,6-4,Texas A&M,8,,TEN,1,0,0,0,0,0
50,15,Nick Westbrook-Ikhine,23,WR,215,6-3,Indiana,Rook,,TEN,0,0,1,0,0,0
52,5,Logan Woodside ,25,QB,213,6-1,Toledo,2,,TEN,1,0,0,0,0,0
