No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
85,Dan Arnold,25,WR,220,6-6,Wisconsin–Platteville,2,ARI,0,0,1,0,0,0
26,Eno Benjamin,21,RB,207,5-9,Arizona St.,Rook,ARI,0,1,0,0,0,0
81,Darrell Daniels,26,TE,256,6-3,Washington,3,ARI,0,0,0,1,0,0
41,Kenyan Drake,26,RB,211,6-1,Alabama,4,ARI,0,1,0,0,0,0
29,Chase Edmonds,24,RB,210,5-9,Fordham,2,ARI,0,1,0,0,0,0
11,Larry Fitzgerald,37,WR,218,6-3,Pittsburgh,16,ARI,0,0,1,0,0,0
37,D.J. Foster ,27,RB,205,6-0,Arizona St.,4,ARI,0,1,0,0,0,0
5,Zane Gonzalez,25,K,202,6-0,Arizona St.,3,ARI,0,0,0,0,1,0
10,DeAndre Hopkins,28,WR,212,6-1,Clemson,7,ARI,0,0,1,0,0,0
7,Brett Hundley,27,QB,226,6-3,UCLA,4,ARI,1,0,0,0,0,0
17,Andy Isabella,24,WR,188,5-9,Massachusetts,1,ARI,0,0,1,0,0,0
19,KeeSean Johnson,24,WR,201,6-1,Fresno St.,1,ARI,0,0,1,0,0,0
13,Christian Kirk,24,WR,200,5-11,Texas A&M,2,ARI,0,0,1,0,0,0
1,Kyler Murray ,23,QB,207,5-10,Oklahoma,1,ARI,1,0,0,0,0,0
16,Trent Sherfield,24,WR,219,6-1,Vanderbilt,2,ARI,0,0,1,0,0,0
15,Chris Streveler,25,QB,215,6-3,South Dakota,Rook,ARI,1,0,0,0,0,0
38,Jonathan Ward,23,RB,202,6-0,Central Michigan,Rook,ARI,0,1,0,0,0,0
87,Maxx Williams,26,TE,252,6-4,Minnesota,5,ARI,0,0,0,1,0,0
