No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
17,Josh Allen ,24,QB,237,6-5,Wyoming,2,BUF,1,0,0,0,0,0
5,Matt Barkley,30,QB,234,6-2,USC,7,BUF,1,0,0,0,0,0
2,Tyler Bass,23,K,185,5-10,Georgia Southern,Rook,BUF,0,0,0,0,1,0
11,Cole Beasley,31,WR,174,5-8,SMU,8,BUF,0,0,1,0,0,0
15,John Brown,30,WR,178,5-11,Pittsburg St.,6,BUF,0,0,1,0,0,0
13,Gabriel Davis,21,WR,216,6-2,Central Florida,Rook,BUF,0,0,1,0,0,0
14,Stefon Diggs,27,WR,191,6-0,Maryland,5,BUF,0,0,1,0,0,0
10,Jake Fromm,22,QB,219,6-2,Georgia,Rook,BUF,1,0,0,0,0,0
86,Reggie Gilliam,23,TE,255,6-1,Toledo,Rook,BUF,0,0,0,1,0,0
25,Taiwan Jones,32,RB,195,6-0,East. Washington,9,BUF,0,1,0,0,0,0
88,Dawson Knox,24,TE,254,6-4,Mississippi,1,BUF,0,0,0,1,0,0
81,Tyler Kroft,28,TE,252,6-6,Rutgers,5,BUF,0,0,0,1,0,0
87,Jake Kumerow,28,WR,209,6-4,Wisconsin–Whitewater,2,BUF,0,0,1,0,0,0
19,Isaiah McKenzie,25,WR,173,5-8,Georgia,3,BUF,0,0,1,0,0,0
20,Zack Moss ,23,RB,223,5-9,Utah,Rook,BUF,0,1,0,0,0,0
18,Andre Roberts,32,WR,195,5-11,The Citadel,10,BUF,0,0,1,0,0,0
26,Devin Singletary,23,RB,203,5-7,Florida Atlantic,1,BUF,0,1,0,0,0,0
85,Lee Smith,33,TE,265,6-6,"Tennessee,Marshall",9,BUF,0,0,0,1,0,0
22,T.J. Yeldon,27,RB,223,6-1,Alabama,5,BUF,0,1,0,0,0,0
