No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
80,Blake Bell,29,TE,252,6-6,Oklahoma,5,DAL,0,0,0,1,0,0
85,Noah Brown,24,WR,225,6-2,Ohio St.,3,DAL,0,0,1,0,0,0
19,Amari Cooper,26,WR,210,6-1,Alabama,5,DAL,0,0,1,0,0,0
1,Ben DiNucci,24,QB,,,"Pittsburgh,James Madison",Rook,DAL,1,0,0,0,0,0
34,Rico Dowdle,22,RB,215,6-0,South Carolina,Rook,DAL,0,1,0,0,0,0
21,Ezekiel Elliott,25,RB,228,6-0,Ohio St.,4,DAL,0,1,0,0,0,0
13,Michael Gallup,24,WR,198,6-1,Colorado St.,2,DAL,0,0,1,0,0,0
3,Garrett Gilbert,29,QB,230,6-4,"Texas,SMU",6,DAL,1,0,0,0,0,0
29,C.J. Goodwin,30,WR,190,6-3,California (PA),6,DAL,0,0,1,0,0,0
88,CeeDee Lamb ,21,WR,198,6-2,Oklahoma,Rook,DAL,0,0,1,0,0,0
84,Sean McKeon,23,TE,246,6-5,Michigan,Rook,DAL,0,0,0,1,0,0
45,Sewo Olonilua,23,RB,240,6-3,Texas Christian,Rook,DAL,0,1,0,0,0,0
20,Tony Pollard,23,RB,209,6-0,Memphis,1,DAL,0,1,0,0,0,0
10,Cooper Rush,27,QB,225,6-3,Central Michigan,3,DAL,1,0,0,0,0,0
86,Dalton Schultz,24,TE,244,6-5,Stanford,2,DAL,0,0,0,1,0,0
17,Malik Turner,24,WR,202,6-2,Illinois,2,DAL,0,0,1,0,0,0
11,Cedrick Wilson,25,WR,188,6-5,Boise St.,2,DAL,0,0,1,0,0,0
2,Greg Zuerlein,33,K,191,6-0,Missouri Western St.,8,DAL,0,0,0,0,1,0
