No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
80,Danny Amendola,35,WR,185,5-11,Texas Tech,11,DET,0,0,1,0,0,0
10,David Blough,25,QB,200,6-0,Purdue,1,DET,1,0,0,0,0,0
87,Quintez Cephus,22,WR,202,6-1,Wisconsin,Rook,DET,0,0,1,0,0,0
4,Chase Daniel,34,QB,229,6-0,Missouri,11,DET,1,0,0,0,0,0
19,Kenny Golladay,27,WR,214,6-4,Northern Illinois,3,DET,0,0,1,0,0,0
17,Marvin Hall,27,WR,190,5-10,Washington,3,DET,0,0,1,0,0,0
88,T.J. Hockenson ,23,TE,247,6-5,Iowa,1,DET,0,0,0,1,0,0
83,Jesse James,26,TE,250,6-7,Penn St.,5,DET,0,0,0,1,0,0
33,Kerryon Johnson,23,RB,211,5-11,Auburn,2,DET,0,1,0,0,0,0
11,Marvin Jones ,30,WR,199,6-2,California,8,DET,0,0,1,0,0,0
89,Isaac Nauta,23,TE,246,6-3,Georgia,1,DET,0,0,0,1,0,0
28,Adrian Peterson,35,RB,220,6-1,Oklahoma,13,DET,0,1,0,0,0,0
5,Matt Prater,36,K,201,5-10,Central Florida,13,DET,0,0,0,0,1,0
9,Matthew Stafford,32,QB,220,6-3,Georgia,11,DET,1,0,0,0,0,0
32,D'Andre Swift ,21,RB,212,5-8,Georgia,Rook,DET,0,1,0,0,0,0
41,Jonathan Williams,26,RB,217,6-0,Arkansas,4,DET,0,1,0,0,0,0
