No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
13,Keenan Allen,28,WR,211,6-2,California,7,LAC,0,0,1,0,0,0
82,Stephen Anderson,27,TE,230,6-3,California,4,LAC,0,0,0,1,0,0
4,Michael Badgley,25,K,183,5-10,Miami (FL),2,LAC,0,0,0,0,1,0
29,Kalen Ballage,25,RB,231,6-2,Arizona St.,2,LAC,0,1,0,0,0,0
15,Jalen Guyton,23,WR,212,6-1,North Texas,1,LAC,0,0,1,0,0,0
86,Hunter Henry ,26,TE,250,6-5,Arkansas,4,LAC,0,0,0,1,0,0
10,Justin Herbert ,22,QB,236,6-6,Oregon,Rook,LAC,1,0,0,0,0,0
84,K.J. Hill,23,WR,196,6-0,Ohio St.,Rook,LAC,0,0,1,0,0,0
22,Justin Jackson,25,RB,199,6-0,Northwestern,2,LAC,0,1,0,0,0,0
83,Tyron Johnson,24,WR,193,6-1,Oklahoma St.,Rook,LAC,0,0,1,0,0,0
27,Joshua Kelley,23,RB,212,5-11,"California-Davis,UCLA",Rook,LAC,0,1,0,0,0,0
40,Gabe Nabers,23,RB,243,6-3,Florida St.,Rook,LAC,0,1,0,0,0,0
48,Donald Parham,23,TE,237,6-8,Stetson University,Rook,LAC,0,0,0,1,0,0
35,Troymaine Pope,27,RB,205,5-9,Jacksonville St.,4,LAC,0,1,0,0,0,0
12,Joe Reed,22,WR,224,6-0,Virginia,Rook,LAC,0,0,1,0,0,0
2,Easton Stick,25,QB,224,6-1,North Dakota St.,Rook,LAC,1,0,0,0,0,0
5,Tyrod Taylor ,31,QB,217,6-1,Virginia Tech,9,LAC,1,0,0,0,0,0
81,Mike Williams ,26,WR,220,6-4,Clemson,3,LAC,0,0,1,0,0,0
