No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
15,Nelson Agholor,27,WR,198,6-0,USC,5,LV,0,0,1,0,0,0
23,Devontae Booker,28,RB,219,5-11,Utah,4,LV,0,1,0,0,0,0
2,Daniel Carlson,25,K,215,6-5,Auburn,2,LV,0,0,0,0,1,0
4,Derek Carr,29,QB,210,6-3,Fresno St.,6,LV,1,0,0,0,0,0
85,Derek Carrier,30,WR,240,6-3,Beloit,8,LV,0,0,1,0,0,0
89,Bryan Edwards ,22,WR,212,6-3,South Carolina,Rook,LV,0,0,1,0,0,0
45,Alec Ingold,24,FB,240,6-1,Wisconsin,1,LV,0,1,0,0,0,0
28,Josh Jacobs,22,RB,220,5-10,Alabama,1,LV,0,1,0,0,0,0
12,Zay Jones ,25,WR,200,6-2,East Carolina,3,LV,0,0,1,0,0,0
8,Marcus Mariota,27,QB,222,6-4,Oregon,5,LV,1,0,0,0,0,0
87,Foster Moreau,23,TE,250,6-4,LSU,1,LV,0,0,0,1,0,0
3,Nathan Peterman ,26,QB,225,6-2,"Tennessee,Pittsburgh",3,LV,1,0,0,0,0,0
13,Hunter Renfrow,25,WR,185,5-10,Clemson,1,LV,0,0,1,0,0,0
30,Jalen Richard,27,RB,205,5-8,Southern Miss,4,LV,0,1,0,0,0,0
35,Theo Riddick,29,RB,201,5-9,Notre Dame,7,LV,0,1,0,0,0,0
11,Henry Ruggs III,21,WR,188,5-11,Alabama,Rook,LV,0,0,1,0,0,0
83,Darren Waller,28,TE,255,6-6,Georgia Tech,5,LV,0,0,0,1,0,0
82,Jason Witten,38,TE,263,6-6,Tennessee,17,LV,0,0,0,1,0,0
