No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
9,Drew Brees,41,QB,209,6-0,Purdue,19,NO,1,0,0,0,0,0
32,Michael Burton,28,FB,240,6-0,Rutgers,5,NO,0,1,0,0,0,0
12,Marquez Callaway,22,WR,204,6-2,Tennessee,Rook,NO,0,0,1,0,0,0
87,Jared Cook,33,TE,254,6-5,South Carolina,11,NO,0,0,0,1,0,0
11,Deonte Harris,23,WR,170,5-6,Assumption,1,NO,0,0,1,0,0,0
89,Josh Hill,30,TE,250,6-5,Idaho St.,7,NO,0,0,0,1,0,0
7,Taysom Hill,30,QB,221,6-2,BYU,3,NO,1,0,0,0,0,0
41,Alvin Kamara,25,RB,215,5-10,"Hutchinson (KS),Tennessee",3,NO,0,1,0,0,0,0
3,Wil Lutz,26,K,184,5-11,Georgia St.,4,NO,0,0,0,0,1,0
88,Ty Montgomery,27,WR/RB,216,6-0,Stanford,5,NO,0,0,0,0,0,0
28,Latavius Murray,30,RB,230,6-3,Central Florida,7,NO,0,1,0,0,0,0
17,Emmanuel Sanders ,33,WR,180,5-11,SMU,10,NO,0,0,1,0,0,0
10,Tre'Quan Smith,24,WR,210,6-2,Central Florida,2,NO,0,0,1,0,0,0
13,Michael Thomas,27,WR,212,6-3,Ohio St.,4,NO,0,0,1,0,0,0
82,Adam Trautman ,23,TE,255,6-5,Dayton,Rook,NO,0,0,0,1,0,0
24,Dwayne Washington,26,RB,223,6-1,Washington,4,NO,0,1,0,0,0,0
2,Jameis Winston,26,QB,231,6-4,Florida St.,5,NO,1,0,0,0,0,0
