No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
18,C.J. Board,27,WR,181,6-1,Chattanooga,2,NYG,0,0,1,0,0,0
88,Evan Engram ,26,TE,240,6-3,Mississippi,3,NYG,0,0,0,1,0,0
24,Devonta Freeman ,28,RB,206,5-8,Florida St.,6,NYG,0,1,0,0,0,0
22,Wayne Gallman,26,RB,210,6-0,Clemson,3,NYG,0,1,0,0,0,0
5,Graham Gano,33,K,202,6-2,Florida St.,11,NYG,0,0,0,0,1,0
8,Daniel Jones ,23,QB,221,6-5,Duke,1,NYG,1,0,0,0,0,0
33,Dion Lewis,30,RB,195,5-8,Pittsburgh,9,NYG,0,1,0,0,0,0
81,Austin Mack,23,WR,215,6-2,Ohio St.,Rook,NYG,0,0,1,0,0,0
12,Colt McCoy,34,QB,212,6-1,Texas,10,NYG,1,0,0,0,0,0
41,Alfred Morris ,32,RB,222,5-10,Florida Atlantic,8,NYG,0,1,0,0,0,0
39,Elijhaa Penny,27,RB,234,6-2,Idaho,3,NYG,0,1,0,0,0,0
87,Sterling Shepard,27,WR,201,5-10,Oklahoma,4,NYG,0,0,1,0,0,0
86,Darius Slayton,23,WR,190,6-1,Auburn,1,NYG,0,0,1,0,0,0
82,Kaden Smith,23,TE,252,6-5,Stanford,1,NYG,0,0,0,1,0,0
15,Golden Tate,32,WR,197,5-10,Notre Dame,10,NYG,0,0,1,0,0,0
85,Levine Toilolo,29,TE,268,6-8,Stanford,7,NYG,0,0,0,1,0,0
83,Eric Tomlinson,28,TE,263,6-6,Texas-El Paso,4,NYG,0,0,0,1,0,0
