No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
10,Braxton Berrios,25,WR,190,5-9,Miami (FL),2,NYJ,0,0,1,0,0,0
87,Daniel Brown,28,TE,247,6-5,James Madison,5,NYJ,0,0,0,1,0,0
6,Sergio Castillo,30,K,195,5-11,West Texas A&M,Rook,NYJ,0,0,0,0,1,0
82,Jamison Crowder,27,WR,177,5-9,Duke,5,NYJ,0,0,1,0,0,0
14,Sam Darnold ,23,QB,225,6-3,USC,2,NYJ,1,0,0,0,0,0
9,Sam Ficken,28,K,192,6-1,Penn St.,3,NYJ,0,0,0,0,1,0
5,Joe Flacco,35,QB,245,6-6,"Pittsburgh,Delaware",12,NYJ,1,0,0,0,0,0
21,Frank Gore,37,RB,212,5-9,Miami (FL),15,NYJ,0,1,0,0,0,0
84,Ryan Griffin,30,TE,255,6-6,Connecticut,7,NYJ,0,0,0,1,0,0
89,Chris Herndon,24,TE,253,6-4,Miami (FL),2,NYJ,0,0,0,1,0,0
25,Ty Johnson,23,WR,210,5-10,Maryland,1,NYJ,0,0,1,0,0,0
11,Denzel Mims ,23,WR,207,6-3,Baylor,Rook,NYJ,0,0,1,0,0,0
4,James Morgan ,23,QB,229,6-4,"Bowling Green,Florida International",Rook,NYJ,1,0,0,0,0,0
22,La'Mical Perine ,22,RB,216,5-11,Florida,Rook,NYJ,0,1,0,0,0,0
19,Breshad Perriman,27,WR,215,6-2,Central Florida,4,NYJ,0,0,1,0,0,0
16,Jeff Smith,23,WR,195,6-1,Boston College,1,NYJ,0,0,1,0,0,0
17,Vyncint Smith,24,WR,202,6-3,Limestone,2,NYJ,0,0,1,0,0,0
85,Trevon Wesco,25,TE,267,6-3,West Virginia,1,NYJ,0,0,0,1,0,0
