No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
13,Cameron Batson,25,WR,175,5-8,Texas Tech,2,TEN,0,0,1,0,0,0
41,Khari Blasingame,24,RB,233,6-0,Vanderbilt,1,TEN,0,1,0,0,0,0
11,A.J. Brown,23,WR,226,6-0,Mississippi,1,TEN,0,0,1,0,0,0
84,Corey Davis ,25,WR,209,6-3,West. Michigan,3,TEN,0,0,1,0,0,0
86,Anthony Firkser,25,TE,246,6-2,Harvard,2,TEN,0,0,0,1,0,0
40,D'Onta Foreman,24,RB,236,6-1,Texas,3,TEN,0,1,0,0,0,0
3,Stephen Gostkowski,36,K,215,6-1,Memphis,14,TEN,0,0,0,0,1,0
22,Derrick Henry ,26,RB,247,6-3,Alabama,4,TEN,0,1,0,0,0,0
89,Tommy Hudson,23,TE,255,6-5,Arizona St.,Rook,TEN,0,0,0,1,0,0
10,Adam Humphries,27,WR,195,5-11,Clemson,5,TEN,0,0,1,0,0,0
28,Jeremy McNichols ,25,RB,205,5-9,Boise St.,3,TEN,0,1,0,0,0,0
85,MyCole Pruitt,28,TE,245,6-2,Southern Illinois,5,TEN,0,0,0,1,0,0
14,Kalif Raymond,26,WR,182,5-8,Holy Cross,4,TEN,0,0,1,0,0,0
81,Jonnu Smith,25,TE,248,6-3,Florida International,3,TEN,0,0,0,1,0,0
87,Geoff Swaim,27,TE,260,6-4,Texas,5,TEN,0,0,0,1,0,0
17,Ryan Tannehill,32,QB,207,6-4,Texas A&M,8,TEN,1,0,0,0,0,0
15,Nick Westbrook-Ikhine,23,WR,215,6-3,Indiana,Rook,TEN,0,0,1,0,0,0
5,Logan Woodside ,25,QB,213,6-1,Toledo,2,TEN,1,0,0,0,0,0
