No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
8,Kyle Allen,24,QB,210,6-3,"Texas A&M,Houston",2,WAS,1,0,0,0,0,0
13,Jeff Badet,26,WR,182,5-11,Oklahoma,Rook,WAS,0,0,1,0,0,0
25,Peyton Barber,26,RB,225,5-11,Auburn,4,WAS,0,1,0,0,0,0
12,Tony Brown,23,WR,195,6-1,Colorado,Rook,WAS,0,0,1,0,0,0
16,Robert Foster,26,WR,196,6-2,Alabama,2,WAS,0,0,1,0,0,0
24,Antonio Gibson ,22,WR,228,6-0,Memphis,Rook,WAS,0,0,1,0,0,0
7,Dwayne Haskins ,23,QB,230,6-4,Ohio St.,1,WAS,1,0,0,0,0,0
84,Temarrick Hemingway,27,TE,245,6-5,South Carolina St.,4,WAS,0,0,0,1,0,0
3,Dustin Hopkins ,30,K,205,6-2,Florida St.,7,WAS,0,0,0,0,1,0
80,Dontrelle Inman,31,WR,205,6-3,Virginia,6,WAS,0,0,1,0,0,0
41,J.D. McKissic,27,WR,195,5-10,Arkansas St.,4,WAS,0,0,1,0,0,0
17,Terry McLaurin ,25,WR,210,6-0,Ohio St.,1,WAS,0,0,1,0,0,0
89,Cam Sims,24,WR,215,6-5,Alabama,2,WAS,0,0,1,0,0,0
15,Steven Sims,23,WR,176,5-10,Kansas,1,WAS,0,0,1,0,0,0
11,Alex Smith,36,QB,213,6-4,Utah,15,WAS,1,0,0,0,0,0
87,Jeremy Sprinkle,26,TE,255,6-5,Arkansas,3,WAS,0,0,0,1,0,0
82,Logan Thomas,29,QB/TE,250,6-6,Virginia Tech,6,WAS,1,0,0,1,0,0
83,Isaiah Wright,23,WR,220,6-2,Temple,Rook,WAS,0,0,1,0,0,0
